event_date,user_id,gender,age,os,views,likes
2025-02-18,36277,1,34,Android,5,1
2025-02-18,136269,1,28,iOS,13,3
2025-02-18,128258,1,23,iOS,27,10
2025-02-18,35846,0,21,Android,38,4
2025-02-18,69372,1,48,Android,22,6
2025-02-18,71359,0,24,Android,20,6
2025-02-18,5090,0,46,Android,25,6
2025-02-18,131822,0,37,iOS,29,3
2025-02-18,64187,0,44,iOS,13,4
2025-02-18,160079,0,20,Android,33,8
2025-02-18,107801,1,30,iOS,20,5
2025-02-18,74967,0,20,Android,22,4
2025-02-18,78715,1,20,iOS,23,5
2025-02-18,164854,0,34,iOS,29,8
2025-02-18,113589,0,32,Android,28,13
2025-02-18,107882,0,46,Android,38,6
2025-02-18,147212,0,20,Android,30,9
2025-02-18,164268,1,43,Android,8,2
2025-02-18,164061,1,38,Android,51,9
2025-02-18,61070,0,53,Android,21,2
2025-02-18,166873,1,20,iOS,24,9
2025-02-18,143586,1,19,Android,11,2
2025-02-18,159331,0,20,Android,9,1
2025-02-18,16523,1,18,iOS,4,1
2025-02-18,167823,1,26,Android,21,4
2025-02-18,30983,0,31,iOS,15,2
2025-02-18,156185,1,17,Android,13,1
2025-02-18,121930,1,20,Android,12,0
2025-02-18,78869,1,19,Android,41,7
2025-02-18,30342,1,20,Android,37,9
2025-02-18,14460,0,19,iOS,21,2
2025-02-18,58705,0,22,iOS,16,3
2025-02-18,160528,1,15,Android,57,10
2025-02-18,165350,1,20,Android,19,5
2025-02-18,164403,1,40,Android,27,1
2025-02-18,1330,0,19,Android,47,5
2025-02-18,75555,0,38,iOS,30,5
2025-02-18,77017,0,22,Android,48,10
2025-02-18,9180,1,27,Android,23,3
2025-02-18,145182,0,30,iOS,41,13
2025-02-18,148373,1,31,Android,42,13
2025-02-18,71962,0,39,Android,44,5
2025-02-18,34615,1,15,iOS,26,2
2025-02-18,77645,0,20,Android,18,1
2025-02-18,22455,0,16,Android,11,1
2025-02-18,75177,0,20,Android,10,2
2025-02-18,78885,0,23,Android,41,7
2025-02-18,150057,0,23,iOS,23,3
2025-02-18,76414,0,27,iOS,35,6
2025-02-18,78289,1,49,Android,30,3
2025-02-18,142906,1,36,iOS,53,15
2025-02-18,30764,1,39,Android,30,6
2025-02-18,10692,1,25,Android,48,5
2025-02-18,142627,1,15,Android,13,5
2025-02-18,2352,1,56,Android,31,5
2025-02-18,165829,0,45,Android,12,2
2025-02-18,162057,1,28,iOS,23,3
2025-02-18,76098,1,20,iOS,61,17
2025-02-18,145035,0,21,Android,32,7
2025-02-18,18254,0,18,Android,44,6
2025-02-18,79811,0,25,iOS,37,10
2025-02-18,31140,1,21,Android,9,2
2025-02-18,107024,1,26,iOS,29,8
2025-02-18,147017,1,17,Android,14,1
2025-02-18,78036,0,45,iOS,12,2
2025-02-18,64602,1,50,Android,32,4
2025-02-18,107832,1,43,iOS,26,5
2025-02-18,15389,1,20,iOS,10,1
2025-02-18,161700,1,17,Android,8,3
2025-02-18,35261,1,48,iOS,11,1
2025-02-18,79211,1,19,Android,20,4
2025-02-18,33091,0,24,Android,49,9
2025-02-18,1965,0,17,Android,19,2
2025-02-18,138188,0,46,iOS,29,8
2025-02-18,64130,1,33,Android,14,1
2025-02-18,121569,1,40,Android,30,7
2025-02-18,15246,0,36,Android,25,4
2025-02-18,166345,1,51,Android,28,5
2025-02-18,76828,0,51,iOS,33,6
2025-02-18,22252,1,15,Android,14,0
2025-02-18,74533,1,20,Android,29,5
2025-02-18,143731,1,37,Android,30,3
2025-02-18,76616,1,18,iOS,23,8
2025-02-18,161996,0,25,iOS,27,10
2025-02-18,33892,0,19,Android,44,16
2025-02-18,121590,1,16,Android,47,12
2025-02-18,116819,0,27,Android,1,0
2025-02-18,138020,0,35,Android,11,1
2025-02-18,124128,0,23,iOS,15,4
2025-02-18,9014,1,16,Android,15,4
2025-02-18,73101,1,15,iOS,28,8
2025-02-18,151282,0,19,Android,24,6
2025-02-18,147609,0,32,iOS,13,4
2025-02-18,129010,0,37,Android,13,3
2025-02-18,154729,0,32,Android,24,7
2025-02-18,121616,0,25,iOS,30,10
2025-02-18,13944,1,31,Android,52,16
2025-02-18,69461,0,17,Android,24,7
2025-02-18,144577,1,21,Android,12,2
2025-02-18,109359,0,43,Android,17,4
2025-02-18,71737,1,22,Android,37,11
2025-02-18,116970,1,29,Android,7,1
2025-02-18,69612,1,26,iOS,34,5
2025-02-18,62854,0,45,Android,21,7
2025-02-18,61402,0,15,iOS,51,8
2025-02-18,58860,1,22,iOS,39,5
2025-02-18,106750,1,19,Android,23,5
2025-02-18,72140,1,55,Android,26,5
2025-02-18,113559,1,33,Android,40,9
2025-02-18,108372,1,31,Android,10,0
2025-02-18,79783,0,28,Android,24,8
2025-02-18,47730,1,22,Android,25,4
2025-02-18,161180,1,38,iOS,26,8
2025-02-18,68167,0,27,iOS,13,3
2025-02-18,137601,1,21,Android,28,4
2025-02-18,131248,0,34,Android,39,7
2025-02-18,7872,0,38,Android,50,8
2025-02-18,69333,1,16,iOS,11,4
2025-02-18,127124,1,47,Android,10,5
2025-02-18,55765,1,42,iOS,44,6
2025-02-18,143889,1,21,Android,43,10
2025-02-18,128833,1,19,Android,15,3
2025-02-18,117666,1,27,iOS,10,1
2025-02-18,77782,0,19,Android,18,5
2025-02-18,136447,0,29,Android,19,3
2025-02-18,72222,0,20,iOS,34,9
