event_date,user_id,age,gender,os,messages_sent,messages_received,users_received,users_sent
2025-02-19,18572,23,1,iOS,2,1,1,2
2025-02-19,117073,18,1,Android,3,0,0,3
2025-02-19,128148,30,1,iOS,1,3,1,1
2025-02-19,114639,33,0,iOS,9,6,1,6
2025-02-19,23377,22,1,Android,12,5,1,12
2025-02-19,117908,33,0,Android,7,2,1,6
2025-02-19,1104,33,0,Android,2,2,1,2
2025-02-19,9209,38,1,Android,3,1,1,1
2025-02-19,122877,20,0,iOS,2,5,1,2
2025-02-19,11363,26,0,Android,1,4,1,1
2025-02-19,10493,34,1,Android,6,0,0,2
2025-02-19,18169,39,0,Android,3,0,0,2
2025-02-19,15109,19,0,Android,4,1,1,4
2025-02-19,117787,37,1,Android,0,1,1,0
2025-02-19,112604,19,1,iOS,2,0,0,2
2025-02-19,125787,22,0,Android,1,0,0,1
2025-02-19,124300,14,0,iOS,1,1,1,1
2025-02-19,121102,19,1,Android,1,7,1,1
2025-02-19,118142,32,1,iOS,5,7,1,5
2025-02-19,8141,27,0,Android,1,6,1,1
2025-02-19,1005,26,1,Android,5,6,1,5
2025-02-19,118985,29,1,iOS,5,0,0,5
2025-02-19,19345,20,0,Android,1,0,0,1
2025-02-19,11264,20,0,iOS,5,0,0,5
2025-02-19,15089,33,1,iOS,2,0,0,2
2025-02-19,13802,30,1,Android,4,8,1,4
2025-02-19,116880,23,1,Android,5,14,1,5
2025-02-19,111706,28,0,iOS,4,5,1,4
2025-02-19,14231,27,0,Android,8,2,1,8
2025-02-19,22358,38,1,iOS,11,0,0,3
2025-02-19,114738,18,0,Android,2,9,1,2
2025-02-19,115408,20,0,Android,5,0,0,5
2025-02-19,123109,47,1,iOS,7,0,0,1
2025-02-19,21661,19,1,Android,2,2,1,2
2025-02-19,10715,20,1,iOS,5,4,1,5
2025-02-19,110029,22,0,Android,3,2,1,3
2025-02-19,1357,20,1,Android,3,5,1,3
2025-02-19,20984,28,1,iOS,4,7,1,4
2025-02-19,124303,24,0,iOS,9,6,1,9
2025-02-19,125515,60,0,iOS,1,0,0,1
2025-02-19,2455,22,0,Android,2,5,1,2
2025-02-19,19740,54,0,Android,3,0,0,1
2025-02-19,21281,19,0,iOS,0,1,1,0
2025-02-19,118575,15,1,iOS,6,3,1,5
2025-02-19,10123,30,1,Android,3,0,0,3
2025-02-19,109636,19,1,iOS,6,3,1,6
2025-02-19,15252,32,0,iOS,7,4,1,7
2025-02-19,122690,19,1,Android,5,10,1,5
2025-02-19,21474,28,0,Android,7,0,0,7
2025-02-19,128760,20,0,iOS,1,0,0,1
2025-02-19,113885,16,0,Android,5,1,1,4
2025-02-19,127420,18,0,iOS,3,0,0,3
2025-02-19,121546,20,0,iOS,14,14,1,14
2025-02-19,20617,38,1,iOS,7,7,1,2
2025-02-19,11454,34,1,Android,5,0,0,2
2025-02-19,121693,27,1,Android,4,2,1,4
2025-02-19,15993,15,1,Android,10,0,0,6
2025-02-19,22572,52,0,Android,4,0,0,2
2025-02-19,123259,58,0,iOS,4,0,0,1
2025-02-19,16757,46,1,iOS,5,0,0,5
2025-02-19,128921,16,0,iOS,4,0,0,4
2025-02-19,5086,20,0,Android,1,16,1,1
2025-02-19,127693,20,0,iOS,4,1,1,4
2025-02-19,13613,20,0,iOS,7,1,1,6
2025-02-19,111024,29,1,iOS,6,5,1,6
2025-02-19,117238,61,1,iOS,5,0,0,1
2025-02-19,107354,28,1,iOS,9,4,1,9
2025-02-19,123147,24,1,iOS,6,20,1,6
2025-02-19,23164,19,0,Android,7,0,0,7
2025-02-19,128066,44,1,Android,6,0,0,2
2025-02-19,129497,25,1,iOS,7,0,0,6
2025-02-19,124076,20,0,Android,2,2,1,2
2025-02-19,10631,47,1,Android,1,0,0,1
2025-02-19,12072,42,0,Android,6,1,1,2
2025-02-19,122738,26,1,Android,1,6,1,1
2025-02-19,7501,38,1,Android,6,9,1,3
2025-02-19,116133,29,1,Android,1,1,1,1
2025-02-19,22880,33,1,iOS,2,1,1,2
2025-02-19,123105,23,1,Android,7,0,0,7
2025-02-19,8954,23,1,Android,7,13,1,7
2025-02-19,122597,21,0,iOS,2,5,1,2
2025-02-19,23139,31,1,Android,6,1,1,6
2025-02-19,17996,21,1,Android,8,5,1,8
2025-02-19,17517,28,1,iOS,1,8,1,1
2025-02-19,116392,23,1,iOS,2,0,0,2
2025-02-19,22090,38,1,Android,8,4,1,4
2025-02-19,18009,17,1,Android,7,0,0,6
2025-02-19,18312,29,0,Android,2,4,1,2
2025-02-19,125494,56,0,Android,2,0,0,2
2025-02-19,107520,20,0,Android,5,6,1,5
2025-02-19,16447,19,0,iOS,5,108,1,5
2025-02-19,126371,17,1,iOS,5,5,1,5
2025-02-19,22652,22,1,Android,7,0,0,7
2025-02-19,128863,18,0,Android,2,5,1,2
2025-02-19,16648,19,0,Android,2,0,0,2
2025-02-19,17833,20,1,iOS,2,3,1,2
2025-02-19,22076,17,1,Android,2,5,1,2
2025-02-19,22656,21,1,iOS,2,5,1,2
2025-02-19,127945,54,0,iOS,8,0,0,3
2025-02-19,2545,17,1,Android,4,1,1,3
2025-02-19,116829,27,1,iOS,5,2,1,5
2025-02-19,126142,25,1,Android,9,0,0,7
2025-02-19,120867,24,0,Android,4,5,1,4
2025-02-19,115363,23,1,Android,3,6,1,2
2025-02-19,129108,25,0,Android,6,1,1,4
2025-02-19,4081,16,0,Android,3,5,1,2
2025-02-19,123917,36,1,Android,8,1,1,2
2025-02-19,123560,41,1,Android,4,0,0,2
2025-02-19,23357,23,0,Android,8,2,1,7
2025-02-19,17319,18,0,Android,3,1,1,3
2025-02-19,129212,18,1,Android,4,0,0,4
2025-02-19,22023,33,0,Android,2,2,1,2
2025-02-19,125689,23,1,Android,18,13,1,18
2025-02-19,15542,24,1,iOS,3,4,1,3
2025-02-19,18302,37,0,Android,7,0,0,2
2025-02-19,10590,28,1,Android,8,0,0,8
2025-02-19,117735,14,0,iOS,2,3,1,2
2025-02-19,18061,14,0,Android,4,2,1,1
2025-02-19,117205,24,1,Android,4,0,0,4
2025-02-19,121931,22,1,Android,2,4,1,2
2025-02-19,123985,21,1,Android,2,0,0,2
2025-02-19,21429,20,0,Android,4,0,0,4
2025-02-19,128754,28,0,iOS,3,4,1,3
2025-02-19,120748,29,0,iOS,2,6,1,2
2025-02-19,128468,18,1,iOS,5,7,1,5
2025-02-19,109052,19,0,Android,4,3,1,3
2025-02-19,16527,21,0,iOS,9,22,1,9
2025-02-19,127521,16,1,Android,5,0,0,4
2025-02-19,128601,23,1,Android,3,2,1,3
2025-02-19,128878,36,1,Android,6,0,0,2
2025-02-19,18186,59,0,Android,4,0,0,2
2025-02-19,116141,15,0,iOS,3,3,1,3
2025-02-19,14005,21,1,Android,4,0,0,4
2025-02-19,119692,25,0,iOS,3,7,1,3
2025-02-19,126218,51,1,Android,3,1,1,2
2025-02-19,127276,26,1,iOS,5,11,1,5
2025-02-19,10575,25,1,iOS,5,16,1,5
2025-02-19,116588,17,0,iOS,5,92,1,5
2025-02-19,10154,24,0,Android,3,0,0,3
2025-02-19,115124,22,1,Android,3,0,0,3
2025-02-19,119249,37,0,iOS,3,1,1,2
2025-02-19,112905,17,1,iOS,2,6,1,2
2025-02-19,128583,29,1,Android,3,9,1,3
2025-02-19,129317,30,1,iOS,8,12,1,7
2025-02-19,126446,33,0,iOS,2,3,1,1
2025-02-19,2875,15,0,Android,2,1,1,2
2025-02-19,22095,18,1,Android,5,1,1,5
2025-02-19,116284,20,0,iOS,2,1,1,2
2025-02-19,2986,56,1,Android,4,0,0,1
2025-02-19,115052,26,1,Android,2,6,1,2
2025-02-19,112172,29,0,Android,2,0,0,2
2025-02-19,22670,37,0,Android,5,0,0,4
2025-02-19,129285,30,0,iOS,7,2,1,7
2025-02-19,9916,20,0,Android,6,3,1,6
2025-02-19,9176,23,1,Android,3,4,1,3
2025-02-19,121557,18,0,Android,6,7,1,6
2025-02-19,11659,15,0,Android,4,1,1,1
2025-02-19,537,21,0,Android,3,1,1,3
2025-02-19,2883,67,1,iOS,3,0,0,2
2025-02-19,21484,17,1,Android,10,17,1,10
2025-02-19,18456,35,1,iOS,2,2,1,1
